,TSPDT Rank,Title,Tier,Director,Year,RateCount,Genre,Country,Rating,0.5 Rating,1.0 Rating,1.5 Rating,2.0 Rating,2.5 Rating,3.0 Rating,3.5 Rating,4.0 Rating,4.5 Rating,5.0 Rating
346,347,How Green Was My Valley,highbrow,John Ford,1941,7577,['Drama'],USA,3.87646825920549,18,56,51,228,324,987,1273,2076,1152,1412
348,349,The Killing of a Chinese Bookie,highbrow,John Cassavetes,1976,10585,"['Thriller', 'Crime', 'Drama']",USA,3.86868209730751,11,41,66,241,373,1268,2041,3444,1667,1433
350,351,Uncle Boonmee Who Can Recall His Past Lives,highbrow,Apichatpong Weerasethakul,2010,16055,"['Comedy', 'Drama', 'Fantasy']",Thailand,3.78579881656805,79,206,204,644,765,2021,2574,4622,2462,2478
351,352,Theorem,highbrow,Pier Paolo Pasolini,1968,8213,"['Drama', 'Mystery']",Italy,3.82405941799586,36,77,89,270,345,1047,1415,2418,1169,1350
352,353,Yellow Earth,highbrow,Chen Kaige,1984,1004,['Drama'],China,3.64641434262948,4,7,11,32,55,178,221,305,97,94
355,356,Stromboli,highbrow,Roberto Rossellini,1950,4148,['Drama'],Italy,3.84703471552555,1,16,21,75,147,579,860,1312,576,561
356,357,Marnie,highbrow,Alfred Hitchcock,1964,14695,"['Mystery', 'Thriller']",USA,3.47077237155495,51,119,159,702,1136,3364,3658,3487,1124,895
357,358,Written on the Wind,highbrow,Douglas Sirk,1956,5828,"['Romance', 'Drama']",USA,3.84668840082361,4,19,28,136,233,750,1159,1883,835,781
359,360,Carrie,highbrow,Brian De Palma,1976,98603,"['Horror', 'Thriller']",USA,3.8164457470868,134,428,455,2357,3031,15307,18939,33654,10939,13359
360,361,High Noon,highbrow,Fred Zinnemann,1952,23096,"['Thriller', 'Drama', 'Western']",USA,3.88621406304122,20,76,87,423,739,2901,4331,7876,3469,3174
361,362,Lola Montès,highbrow,Max Ophüls,1955,3154,"['Romance', 'Drama']",France,3.90646797717185,3,6,14,60,123,380,573,1003,515,478
362,363,Salvatore Giuliano,highbrow,Francesco Rosi,1962,1331,"['Drama', 'Action']",Italy,3.7640871525169,1,3,4,42,59,179,323,413,171,136
363,364,Platform,highbrow,Jia Zhangke,2000,2273,['Drama'],China,3.6148262208535,6,6,10,35,57,236,315,606,359,426
365,366,Land Without Bread,highbrow,Luis Buñuel,1933,3087,['Documentary'],Spain,3.522351797862,24,30,53,137,200,633,667,851,239,253
369,370,if....,highbrow,Lindsay Anderson,1968,10829,['Drama'],UK,3.7432357558408,23,56,75,284,488,1574,2376,3589,1293,1071
370,371,Last Tango in Paris,highbrow,Bernardo Bertolucci,1972,15092,"['Drama', 'Romance']",France,3.36989795918367,367,467,338,1081,1160,2764,2756,3473,1252,1435
372,373,Lost Highway,highbrow,David Lynch,1997,53036,"['Drama', 'Mystery', 'Thriller']",USA,3.9268327173995,122,325,330,1219,1657,5702,8555,17432,8889,8805
373,374,I Know Where I'm Going!,highbrow,Emeric Pressburger,1945,4081,"['Romance', 'Drama']",UK,3.77150208282284,3,14,31,97,171,639,900,1232,514,480
375,376,The Palm Beach Story,highbrow,Preston Sturges,1942,4863,"['Romance', 'Comedy']",USA,3.80886284186716,6,21,15,111,152,689,1071,1594,675,529
376,377,Lost in Translation,highbrow,Sofia Coppola,2003,197922,"['Comedy', 'Romance', 'Drama']",Japan,3.9108461919342,843,2051,1302,6247,6082,24032,28196,60740,27938,40491
378,379,Russian Ark,highbrow,Aleksandr Sokurov,2002,11495,"['Mystery', 'Fantasy', 'History', 'Drama']",Denmark,3.78303610265333,42,121,108,420,524,1664,1947,3284,1671,1714
381,382,Talk to Her,highbrow,Pedro Almodóvar,2002,22009,"['Drama', 'Romance']",Spain,3.91657958108047,104,180,145,469,633,2284,3516,7492,3652,3534
383,384,"Crouching Tiger, Hidden Dragon",highbrow,Ang Lee,2000,58578,"['Adventure', 'Romance', 'Drama', 'Action']",China,3.8859042643996,88,267,260,1384,1694,7607,9936,20130,8505,8707
384,385,The Crime of Monsieur Lange,highbrow,Jean Renoir,1936,1720,"['Drama', 'Comedy', 'Crime']",France,3.68866279069767,1,11,1,37,73,321,448,508,176,144
386,387,October (Ten Days that Shook the World),highbrow,Sergei Eisenstein,1927,3552,"['History', 'Drama']",Russian Federation,3.75520833333333,13,27,30,129,174,538,658,1063,404,516
394,395,A Trip to the Moon,highbrow,Georges Méliès,1902,48322,"['Adventure', 'Science Fiction', 'Fantasy']",France,3.99808575803982,101,210,194,854,1129,6217,6284,16824,4745,11764
