,TSPDT Rank,Title,Tier,Director,Year,RateCount,Genre,Country,Rating,0.5 Rating,1.0 Rating,1.5 Rating,2.0 Rating,2.5 Rating,3.0 Rating,3.5 Rating,4.0 Rating,4.5 Rating,5.0 Rating
318,319,The Time to Live and the Time to Die,common,Hou Hsiao-hsien,1985,2639,['Drama'],Taiwan,3.98635846911709,1,5,11,37,69,276,432,880,497,431
319,320,Entranced Earth,common,Glauber Rocha,1967,3382,"['Drama', 'Thriller']",Brazil,4.12078651685393,10,26,35,87,100,264,363,837,563,1097
321,322,It Happened One Night,common,Frank Capra,1934,25087,"['Comedy', 'Romance']",USA,4.0754574082194,16,33,51,292,459,2153,3742,8455,4828,5058
323,324,Kiss Me Deadly,common,Robert Aldrich,1955,9335,"['Thriller', 'Mystery']",USA,3.9485270487413,10,34,44,207,297,1000,1585,2935,1639,1587
324,325,Harold and Maude,common,Hal Ashby,1971,38110,"['Romance', 'Drama', 'Comedy']",USA,4.03768039884545,89,206,178,827,1028,3436,5291,11777,6380,8898
325,326,A Touch of Zen,common,King Hu,1971,5019,"['Adventure', 'Action']",Hong Kong,4.05688384140267,5,13,18,87,129,461,740,1478,1005,1083
326,327,The Quince Tree Sun,common,Víctor Erice,1992,942,['Documentary'],Spain,4.09023354564756,2,4,6,15,24,86,104,271,214,216
328,329,The Philadelphia Story,common,George Cukor,1940,20777,"['Comedy', 'Romance']",USA,3.96859508109929,23,70,84,364,551,2330,3522,6693,3303,3838
330,331,Berlin Alexanderplatz,common,Rainer Werner Fassbinder,1980,2013,"['Crime', 'Drama', 'TV Movie']",Germany,4.27098857426726,9,13,9,18,44,123,153,507,394,743
331,332,The House Is Black,common,Forugh Farrokhzad,1963,3870,['Documentary'],Iran,4.10374677002584,3,11,17,58,83,349,453,1224,737,935
333,334,Aliens,common,James Cameron,1986,146018,"['Thriller', 'Science Fiction', 'Action']",USA,4.14079770987139,167,389,437,2257,2708,12550,16949,44297,26531,39734
334,335,Heat,common,Michael Mann,1995,106949,"['Drama', 'Thriller', 'Crime', 'Action']",USA,4.14150669945488,102,257,264,1376,1921,8595,13207,32831,21344,27058
336,337,To Kill a Mockingbird,common,Robert Mulligan,1962,63005,"['Crime', 'Drama']",USA,4.02361717324022,77,171,202,943,1290,6447,9276,21752,10401,12453
